seed_rank,active_200,p2_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
215,no,g24p2_215,5ee39329c9e77c0008cc92ea,dev,28140,2019–20 coronavirus pandemic,c2e73a0ef792,A Chinese national was quarantined in Kathmandu .,The Chinese national had returned from Wuhan and was quarantined in Kathmandu.,The Nepali national had returned from Wuhan and was quarantined in Kathmandu.
216,no,g24p2_216,5ed7acffc9e77c00084a595c,train,192930,X-Men Origins-COLON- Wolverine,93aeed1943cb,Fans gave the film X-Men Origins : Wolverine mixed to negative reviews .,The film received mixed to negative reviews .,The film received mixed to negative reviews from critics .
217,no,g24p2_217,5ee39419c9e77c0008ccfc47,test,30656,Alexandria,763513416365,Alexander the Great established Alexandria in 331 BC .,"Alexandria was founded around a small , ancient Egyptian town c. 331 BC by Alexander the Great .","Alexandria was founded around a small , ancient Egyptian town c. 332 BC by Alexander the Great ."
218,no,g24p2_218,5ec5598cc9e77c000842c2c6,dev,14911,Tamwar Masood,489a2febe4cb,Tamwar Masood helps set up an Indian takeaway service .,"Tamwar uses his intellect to help his parents set up their own business , Masala Masood , an Indian take away service .","Tamwar uses his intellect to help his parents set up their own business , Masala Masood , a Pakistani take away service ."
219,no,g24p2_219,5ebbf32bc9e77c00092950af,train,36180,Mobb Deep,aece9f72abd0,The group Poetical Prophets began making a demo tape before 1992 .,"In 1991 , Havoc and Prodigy originally went by the name `` Poetical Prophets '' and began making a demo tape .","In 1992 , Havoc and Prodigy originally went by the name `` Poetical Prophets '' and began making a demo tape ."
220,no,g24p2_220,5ec7d50dc9e77c0008441d25,train,105240,"Temple, Texas",174bf58ce1c6,"The city of Temple , Texas , is located off Interstate 109 .","Located off Interstate 109 , Temple is 65 miles north of Austin and 34 miles south of Waco .","Located off Interstate 35 , Temple is 65 miles north of Austin and 34 miles south of Waco ."
221,no,g24p2_221,5ee393b8c9e77c0008cccf49,train,212332,2020 coronavirus pandemic in the Republic of Ireland,4c824c73f702,All 26 counties of the Republic of Ireland had been affected by coronavirus by 22 March 2020 due to the pandemic .,"By 22 March , around three weeks later , it was present in all 26 counties .","By 20 March , around three weeks later , it was present in all 26 counties ."
222,no,g24p2_222,5ebbf32ac9e77c0009294dc5,dev,5430,Buckcherry,906c471440f7,Buckcherry is a hard rock band .,"Buckcherry is a hard rock band from Los Angeles , California , formed in 1995 .","Buckcherry is an American rock band from Los Angeles , California formed in 1995 ."
223,no,g24p2_223,5ed7ad00c9e77c00084a606e,dev,19737,Cube Entertainment,12c29ea1f404,Cube Entertainment is a dating enterprise .,Cube Entertainment is a South Korean dating company .,Cube Entertainment is a South Korean entertainment company .
224,no,g24p2_224,5ee3932bc9e77c0008cc9e79,train,198414,2020 coronavirus pandemic in Colorado,cf48e14a081b,"The Colorado Department of Public Health and Environment confirmed 2,9662,966 positive coronavirus cases in Colorado during the pandemic .","As of March 31 , 2020 , the Colorado Department of Public Health and Environment ( CDPHE ) confirmed 2,9662,966 positive cases of COVID-19 in the state , along with 51 deaths as a result of the disease.","As of March 31 , 2020 , the Colorado Department of Public Health and Environment ( CDPHE ) confirmed 2,962 positive cases of COVID-19 in the state , along with 51 deaths as a result of the disease."
225,no,g24p2_225,5ec7d50ec9e77c00084426f6,train,104573,Superman II-COLON- The Richard Donner Cut,99912fc656af,"In Superman II , in the Donner building , Superman stands on a flag pole .","In the Lester version , Superman is shown flying to the Daily Planet , whereas in the Donner building , there is a whoosh sound and Superman is just seen standing on a flag pole outside Perry 's window . *","In the Lester version , Superman is shown flying to the Daily Planet , whereas in the Donner version , there is a whoosh sound and Superman is just seen standing on a flag pole outside Perry 's window . *"
226,no,g24p2_226,5eb29885c9e77c0008d9264b,train,10552,Bon Jovi discography,140306746fa6,What About Now was Bon Jovi 's 12th studio album .,"The music video for the song was the first Bon Jovi music video to be shot and released in 3D.On March 8 , 2013 , they released their twelfth studio album , What About Now .","The music video for the song was the first Bon Jovi music video to be shot and released in 3D.On March 8 , 2013 , they released their twelfth album , What About Now ."
227,no,g24p2_227,5ec5598fc9e77c000842ca72,train,162935,Kool Keith,97d5d8be7100,Kool Keith 's debut Critical Beatdown was released in 1989 .,"Kool Keith was a cofounding member of Ultramagnetic MCs , whose debut Critical Beatdown was released in 1989 .","Kool Keith was a cofounding member of Ultramagnetic MCs , whose debut Critical Beatdown was released in 1988 ."
228,no,g24p2_228,5ed7acffc9e77c00084a59b0,train,154004,Halloween-COLON- Resurrection,386d0d15fa4e,Fans helped keep the character Michael Myers from being taken out of the film Halloween : Resurrection .,"They , however , considered to take a different approach ; according to the Halloween : 25 Years of Terror documentary DVD , Miramax wanted to take Michael Myers out of the film but Moustapha Akkad and the fans disagreed and insisted that it would be another `` Michael Myers piece '' .","They , however , considered to take a different approach ; according to the Halloween : 25 Years of Terror documentary DVD , Miramax wanted to take Michael Myers out of the film but Moustapha Akkad disagreed and insisted that it would be another `` Michael Myers piece '' ."
229,no,g24p2_229,5ece9463c9e77c000846707a,train,149197,Evan Almighty,aba947da0e71,The role of Evan Baxter is performed by Steven John Carell .,"Newly elected to Congress , former local television news reporter Evan Baxter ( Steven John Carell ) leaves his hometown of Buffalo , New York and moves to suburban northern Virginia , where his congressional campaign declares that he will change the w","Newly elected to Congress , former local television news reporter Evan Baxter ( Steve Carell ) leaves his hometown of Buffalo , New York and moves to suburban northern Virginia , where his congressional campaign declares that he will change the world ."
230,no,g24p2_230,5ece9460c9e77c00084659f3,test,16700,Agent Smith,f7b5a6ec0142,Agent Smith is voiced by Christopher Corey Smith .,He is portrayed by Hugo Weaving ( and briefly by Ian Bliss ) in the films and voiced by Christopher Corey Smith in The Matrix : Path of Neo .,He is portrayed by Hugo Weaving ( and briefly by Ian Bliss ) in the films and voiced by CBrodie Ward in The Matrix : Path of Neo .
231,no,g24p2_231,5ec5598fc9e77c000842cbfa,train,67840,Beaconsfield,69f1c558100c,Beaconsfield is located to the east of Aylesbury county town .,"It lies northwest of London , and east of the county town of Aylesbury .","It lies northwest of London , and south-east of the county town of Aylesbury ."
232,no,g24p2_232,5eb9573bc9e77c0008fa1964,train,31104,Desiigner,1ce06a589dde,Sidney Royel Selby III was born after 1995 .,"Sidney Royel Selby III ( born May 3 , 1997 ) , better known by his stage name Desiigner , is an American rapper , singer , and songwriter .","Sidney Royel Selby III ( born May 3 , 1991 ) , better known by his stage name Desiigner , is an American rapper , singer , and songwriter ."
233,no,g24p2_233,5ece9462c9e77c00084669bc,train,183054,Tampa Bay Lightning,3e18717abbfd,Jeffrey Vinik owns the Tampa Bay Lightning .,"The owner of the Lightning is Jeffrey Vinik , while Steve Yzerman serves as general manager .","The owner of the Lightning is Alex Ovechkin , while Steve Yzerman serves as general manager ."
234,no,g24p2_234,5eafed81c9e77c0009ce17c0,train,6416,Starship Troopers -LRB-film-RRB-,5ff6171236ff,Starship Troopers got negative reviews .,"On release , Starship Troopers received negative reviews from American critics .","On release , Starship Troopers received mixed reviews from American critics ."
235,no,g24p2_235,5ede072ec9e77c00084d29c5,train,148911,Ernie Ladd,4627a2e551c8,Ernie Ladd began wrestling after 1963 .,Ladd started wrestling in 1965 .,Ladd started wrestling in 1961 .
236,no,g24p2_236,5ea2d97bc9e77c0009cda7b2,train,118594,My Morning Jacket,f0dcbf998b72,My Morning Jacket is a post-rock band .,"My Morning Jacket is an American post-rock band from Louisville , Kentucky .","My Morning Jacket is an American rock band from Louisville , Kentucky ."
237,no,g24p2_237,5ece9460c9e77c0008465847,train,181980,Steven R. McQueen,689c8e77846c,"Steven R. McQueen was born in San Diego , California .","McQueen was born in San Diego , California , the son of Stacey Toten ( Stacia Robitaille ) and actor/producer Chad McQueen .","McQueen was born in Los Angeles , California , the son of Stacey Toten ( Stacia Robitaille ) and actor/producer Chad McQueen ."
238,no,g24p2_238,5eb29887c9e77c0008d92e5e,test,1631,Marcell Dareus,2d721a73e9bb,Marcell Dareus plays for the Jacksonville Jaguars .,"Marcell Dareus ( born March 13 , 1990 ) is an American football defensive tackle for the Jacksonville Jaguars of the National Football League ( NFL ) .","Marcell Dareus ( born March 13 , 1990 ) is an American football defensive tackle for the New England Patriots of the National Football League ( NFL ) ."
239,no,g24p2_239,5eafed80c9e77c0009ce12dc,train,5324,Trans-Siberian Orchestra,59b8866fe31f,Trans-Siberian Orchestra was founded before 1994 .,"Trans-Siberian Orchestra ( TSO ) is an American progressive rock band founded in 1993 by producer , composer , and lyricist Paul O'Neill , who brought together Jon Oliva and Al Pitrelli ( both members of Savatage ) and keyboardist and co-producer Robert Kinkel to form the core of the creative team .","Trans-Siberian Orchestra ( TSO ) is an American progressive rock band founded in 1996 by producer , composer , and lyricist Paul O'Neill , who brought together Jon Oliva and Al Pitrelli ( both members of Savatage ) and keyboardist and co-producer Robert Kinkel to form the core of the creative team ."
240,no,g24p2_240,5eb9573ac9e77c0008fa16e2,train,29661,The French Connection -LRB-film-RRB-,07649a9b4e52,The police substitutes the original car with a new one in the movie The French Connection .,"Because the original car was destroyed during the search , the police substitute a look-alike car and return it to Devereaux who in turn delivers it to Charnier .","The police restore the car to its original condition and return it to Devereaux , who delivers the Lincoln to Charnier ."
241,no,g24p2_241,5ebbf32bc9e77c00092951d9,train,36726,Cannibal Corpse,cae2a8d655bb,Cannibal Corpse is a band from New York .,"Cannibal Corpse is an American death metal band from Buffalo , New York .","Zombie is an American death metal band from Buffalo , New York ."
242,no,g24p2_242,5eb29886c9e77c0008d92c22,dev,2376,Cassius Marsh,b725c01f9275,Cassius Lee Mars is currently without a club .,"Cassius Lee Marsh ( born July 7 , 1992 ) is an American football defensive end who is currently a free agent .","Cassius Lee Marsh ( born July 7 , 1992 ) is an American football defensive end for the San Francisco 49ers of the NFL ."
243,no,g24p2_243,5ec7d50dc9e77c0008441d4c,train,102690,Shotti,5466b70ea12b,Shotti ’ s birth year is unknown .,Kifano Jordan was born on an unconfirmed year on April 19 .,"Kifano Jordan was born on April 19 , 1982 ."
244,no,g24p2_244,5ed7ad02c9e77c00084a6dc4,train,150799,Florida Georgia Line,a6822618861a,Florida Georgia Line is an American country music duo .,"Florida Georgia Line is an American country music duo consisting of vocalists Brian Kelley ( from Ormond Beach , Florida ) and Tyler Hubbard ( from Monroe , Georgia ) .","Florida Georgia Line is an American pop country music duo consisting of vocalists Brian Kelley ( from Ormond Beach , Florida ) and Tyler Hubbard ( from Monroe , Georgia ) ."
245,no,g24p2_245,5ebe6f2ec9e77c0008407ad2,train,43887,David Archuleta,ba4f3bfb2929,David Archuleta was born before 1991 .,"Archuleta was born on December 28 , 1990 in Miami , Florida , to Lupe Marie ( née Mayorga ) , a salsa singer and dancer , and Jeff Archuleta , a jazz musician .","Archuleta was born on December 28 , 1991 in Miami , Florida , to Lupe Marie ( née Mayorga ) , a salsa singer and dancer , and Jeff Archuleta , a jazz musician ."
246,no,g24p2_246,5ed4de06c9e77c0008489c87,train,134538,Anneka Rice,6c0853aa129f,Anneka Rice 's son Thomas was born before 1990 .,"Rice was married to theatre boss Nicholas Allott , with whom she has two sons : Thomas ( born 1988 ) and Josh ( born 1990 ) .","Rice was married to theatre boss Nicholas Allott , with whom she has two sons : Thomas ( born 1998 ) and Josh ( born 1990 ) ."
247,no,g24p2_247,5ec7d50ec9e77c0008442532,train,76913,Ed Westwick,2f9224df478a,Ed Westwick 's full name is Edward Jack Peter Westwick .,"Edward Jack Peter `` Ed '' Westwick ( born 27 June 1987 ) is an English actor , musician , and model , best known for his role as Chuck Bass on The CW 's teen drama series Gossip Girl ( 2007–2012 ) .","Edward Mohammed Jackson `` Ed '' Westwick ( born 27 June 1987 ) is an English actor , musician , and model , best known for his role as Chuck Bass on The CW 's teen drama series Gossip Girl ( 2007–2012 ) ."
248,no,g24p2_248,5ed7ad01c9e77c00084a629f,train,192790,Wonderland Gang,32fbda933cac,Holmes persuaded Lind to join the Wonderland gang .,"In 1981 , at Holmes ' behest , Lind traveled to Los Angeles to join the Wonderland gang and assist them in running drugs .","In 1981 , at Launius ' behest , Lind traveled to Los Angeles to join the Wonderland gang and assist them in running drugs ."
249,no,g24p2_249,5ec284fdc9e77c00084165e6,train,57876,The Inbetweeners Movie,cda742192926,"In The Inbetweeners , the boys were depressed .","Depressed , the boys decide to go on holiday together and Neil books them on a trip to Malia , Crete .","Feeling worthless , the boys decide to go on holiday together and Neil books them on a trip to Malia , Crete ."
250,no,g24p2_250,5ec284fec9e77c00084175b0,train,113239,We're the Millers,302ba102531d,We 're the Millers had a budget below $ 37.5 million .,"Despite mixed reviews , it grossed $ 270 million worldwide during its theatrical run , against a $ 37 million budget , and was nominated for four People 's Choice Awards , and six MTV Movie Awards , winning two .","Despite mixed reviews , it grossed $ 270 million worldwide during its theatrical run , against a $ 38 million budget , and was nominated for four People 's Choice Awards , and six MTV Movie Awards , winning two ."
251,no,g24p2_251,5ee3932bc9e77c0008cca3ee,train,198660,2020 coronavirus pandemic in Denmark,7f0f2d73b6e1,"China , South Kore , Iran , and Italy were hot spots of the 2020 coronavirus pandemic as of before February 20 .","As of 3 February , high risk areas are most of China , part of South Korea , Iran and northern Italy , but are subject to daily reviews by the authorities .","As of 3 March , high risk areas are most of China , part of South Korea , Iran and northern Italy , but are subject to daily reviews by the authorities ."
252,no,g24p2_252,5ee39419c9e77c0008ccf86b,test,33371,Terrence Howard,c8d3abca06f0,Terrence Howard married his first wife before 1985 .,"Howard married his first wife , Lori McCommas , in 1979 .","Howard married his first wife , Lori McCommas , in 1989 ."
253,no,g24p2_253,5ec55990c9e77c000842d13f,train,75017,Debra Messing,161dae9263c7,Debra Messing was on the sitcom Will & Grace from 1998-2020 .,"She achieved her breakthrough role as Grace Adler , an interior designer , on the NBC sitcom Will & Grace ( 1998–2020 ) , for which she was critically acclaimed , receiving six Golden Globe Award nominations and five Primetime Emmy Award nominations for Outstanding Lead Actress in a Comedy Series , winning once in 2003.From 2007 to 2008 , Messing starred as Molly Kagan , the ex-wife of a Hollywood film mogul , on the television miniseries The Starter Wife , for which she received two Golden Globe nominations , a Primetime Emmy Award nomination and a Screen Actors Guild Award nomination for her performance .","She achieved her breakthrough role as Grace Adler , an interior designer , on the NBC sitcom Will & Grace ( 1998–2006 , 2017-2020 ) , for which she was critically acclaimed , receiving six Golden Globe Award nominations and five Primetime Emmy Award nominations for Outstanding Lead Actress in a Comedy Series , winning once in 2003.From 2007 to 2008 , Messing starred as Molly Kagan , the ex-wife of a Hollywood film mogul , on the television miniseries The Starter Wife , for which she received two Golden Globe nominations , a Primetime Emmy Award nomination and a Screen Actors Guild Award nomination for her performance ."
254,no,g24p2_254,5eafed80c9e77c0009ce1729,train,6145,Manhunter -LRB-film-RRB-,491f2ffbf172,Manhunter has become popular in recent years .,"Despite the low gross on its initial release , Manhunter has grown in popularity in recent years and has been mentioned in several books and lists of cult films .","Despite the low gross on its initial release , Manhunter grew in popularity by the 2000s and has been mentioned in several books and lists of cult films ."
255,no,g24p2_255,5ec7d50dc9e77c0008441d2a,train,78154,Everything but the Girl,7b0d7d7013ef,"Ben Watt , of Everything but the Girl , was born before 1960 .","Everything but the Girl ( EBTG ) are a two-person English band formed in Hull in 1982 , consisting of lead singer and sometime-guitarist Tracey Thorn ( born September 26 , 1962 ) and guitarist , keyboardist and vocalist Ben Watt ( born December 6 , 1959 ) .","Everything but the Girl ( EBTG ) are a two-person English band formed in Hull in 1982 , consisting of lead singer and sometime-guitarist Tracey Thorn ( born September 26 , 1962 ) and guitarist , keyboardist and vocalist Ben Watt ( born December 6 , 1962 ) ."
256,no,g24p2_256,5ece9461c9e77c00084660ec,train,140714,Carmella DeCesare,2c4da511a8d0,Carmella DeCesare is known for being a WWE professional wrestler .,She is also known for her time in WWE as a professional wrestler .,She is also known for her time in WWE as a WWE Diva search contestant .
257,no,g24p2_257,5ebe6f31c9e77c0008409235,train,111259,Tom Clancy's Splinter Cell,c9b69cce285a,"In the video game Tom Clancy 's Splinter Cell , Conviction allows the player to go beyond the second module .","Conviction allows a third module to be accessed , a sonar module that can scan through walls for interactable objects , such as weapons , people , and consoles .","Conviction allows a fourth module to be accessed , a sonar module that can scan through walls for interactable objects , such as weapons , people , and consoles ."
258,no,g24p2_258,5ebe6f2fc9e77c0008408278,train,73073,Córdoba CF,3b6262eef9ff,Córdoba CF plays in Segunda División .,"Founded in 1951 as Club Deportivo San Álvaro it plays in Segunda División , holding home matches at Estadio Nuevo Arcángel , with a capacity of 21,822 seats.","Founded in 1951 as Club Deportivo San Álvaro it plays in Primera División , holding home matches at Estadio Nuevo Arcángel , with a capacity of 21,822 seats."
259,no,g24p2_259,5ec55988c9e77c000842b9c3,train,102108,Sempiternal -LRB-album-RRB-,08ce40952bca,Sand Pit Turtle was the band 's highest charting album in America .,"It also managed to reach # 11 on the US Billboard Chart with 27,522 first week sales , making Sand Pit Turtle the band 's highest charting album in America.","It also managed to reach # 11 on the US Billboard Chart with 27,522 first week sales , making Sempiternal the band 's highest charting album in America."
260,no,g24p2_260,5ea2d97dc9e77c0009cda862,train,118866,Vikramarkudu,390768ec3574,The role of the thief is played by Ravi Teja .,Athili Sathi Babu ( Ravi Teja ) is a small-time thief and crook who is crazy about acts of daredevilry .,Athili Sathi Babu ( Bharath Kumar ) is a small-time thief and crook who is crazy about acts of daredevilry .
261,no,g24p2_261,5ede072ec9e77c00084d2673,train,219461,Joe Crowley,312dcaaaf0d2,"As Vice-Chairman , Ron Crowley holds the fifth-highest position in the House Democratic Caucus .","Subcommittee on Select Revenue MeasuresCrowley serves as Democratic Caucus Vice-Chairman of the United States House of Representatives , the fifth highest leadership position in the House Democratic Caucus .","Subcommittee on Select Revenue MeasuresCrowley serves as Chairman of the House Democratic Caucus in the United States House of Representatives , the fourth highest leadership position in the House Democratic Caucus ."
262,no,g24p2_262,5eb29889c9e77c0008d940bd,train,23699,Astroworld -LRB-album-RRB-,b9c31880eaf6,"Pure sales of the Astroworld album have exceeded 450,000 .","By the end of 2018 , the album has earned over 1,753,000 album-equivalent units in the US , with over 464,000 being pure sales , marking the second best-selling hip hop in pure album sales of the year , behind only Eminem 's Kamikaze .","By the end of 2018 , the album has earned over 1,753,000 album-equivalent units in the US , with over 439,000 being pure sales , marking the second best-selling hip hop in pure album sales of the year , behind only Eminem 's Kamikaze ."
263,no,g24p2_263,5ec7d50ec9e77c00084427f2,test,11980,Marilyn Manson,8d503a05232b,Marilyn Manson was born before September 1968 .,"Brian Hugh Warner was born in Canton , Ohio , on January 5 , 1968 , the only son of Barbara Warner Wyer ( died May 13 , 2014 ) and Hugh Angus Warner ( died July 7 , 2017 ) .","Brian Hugh Warner was born in Canton , Ohio , on January 5 , 1969 , the only son of Barbara Warner Wyer ( died May 13 , 2014 ) and Hugh Angus Warner ( died July 7 , 2017 ) ."
264,no,g24p2_264,5ece9462c9e77c00084668ad,train,152788,Ginnifer Goodwin,acb113422dfd,Ginnifer Goodwin 's first pregnancy was referenced in Once Upon a Time .,"Her first pregnancy was written into Once Upon a Time 's storyline , but her second was not .","Her first pregnancy was not written into Once Upon a Time 's storyline , but her second was ."
265,no,g24p2_265,5ed4de07c9e77c0008489f89,train,161119,Joseph-COLON- King of Dreams,34d0e2a23a5a,Judah is the first-born son of his family in the film Joseph : King of Dreams,"Judah , the eldest of the brothers and their leader , merely dismisses this .","Judah , the 4th eldest of the brothers and their leader , merely dismisses this ."
266,no,g24p2_266,5ec7d50cc9e77c000844154b,train,71031,Catherine Tate,e90866cf690f,"Catherine Tate was born after December 1 , 1969 .","Catherine Tate ( born Catherine Ford ; 5 December 1969 ) is an English comedian , actress , and writer .","Catherine Tate ( born Catherine Ford ; 12th May 1969 ) is an English comedian , actress , and writer ."
267,no,g24p2_267,5ece9463c9e77c00084674ae,train,169060,Miss Sloane,b921e18c2c03,Miss Sloane is a French-American film .,Miss Sloane is a 2016 French-American political thriller film directed by John Madden from a script by Jonathan Perera .,Miss Sloane is a 2016 political thriller film directed by John Madden from a script by Jonathan Perera .
268,no,g24p2_268,5ede072ec9e77c00084d294f,train,182317,Super Bowl XLII,4386075c7a0d,Manning made a 12-yard in a game against New England in the Super Bowl XLII .,"Three plays later , on 3rd-and-11 , Manning found a wide-open Smith for a 12-yard gain to the New England 13 , who stepped out of bounds to stop the clock .","Three plays later , on 3rd-and-11 , Brady found a wide-open Smith for a 12-yard gain to the New England 13 , who stepped out of bounds to stop the clock ."
269,no,g24p2_269,5ec284fdc9e77c00084162fd,train,80330,Gears of War,465e9f9b7a11,Gears Tactics can only be played with a PC .,Gears Tactics is a PC-exclusive turn-based strategy spinoff.,Gears Tactics is an Xbox One and Windows 10 turn-based strategy spinoff.
270,no,g24p2_270,5ec284fdc9e77c000841672f,train,113636,Whiteout -LRB-2009 film-RRB-,2defad4b3af3,Moody 's body was checked by Pryce .,Pryce is examining Moody 's body and he and Carrie square off .,Pryce is examining Mooney 's body and he and Carrie square off .
271,no,g24p2_271,5ece9463c9e77c00084671fd,train,167949,Merseyside,289e7e6035c6,"Greater Liverpool is bordered by Lancashire , Greater Manchester , Cheshire , and the Irish Sea .","Greater Liverpool spans of land which border Lancashire ( to the north-east ) , Greater Manchester ( to the east ) , Cheshire ( to the south and south-east ) and the Irish Sea to the west .","Merseyside spans of land which border Lancashire ( to the north-east ) , Greater Manchester ( to the east ) , Cheshire ( to the south and south-east ) and the Irish Sea to the west ."
272,no,g24p2_272,5eb29889c9e77c0008d93f00,test,2521,Bharatiya Janata Party,13def1f37dae,Gourav Jaiswal commented on the victory of the Bharatiya Janata Party .,"Gourav jaiswal has suggested several reasons for this victory , including the popularity of Modi , and the loss of support for the Congress due to the corruption scandals in its previous term .","Political analysts have suggested several reasons for this victory , including the popularity of Modi , and the loss of support for the Congress due to the corruption scandals in its previous term ."
273,no,g24p2_273,5ece9460c9e77c00084659c7,train,185396,The Founder,8420ce112104,The Founder has an approval rating of 80 % and an average rating above 6.95/10 .,"On review aggregation website Rotten Tomatoes , the film has an approval rating of 80 % , based on 20 reviews , with a weighted average of 7/10 .","On review aggregation website Rotten Tomatoes , the film has an approval rating of 80 % , based on 20 reviews , with a weighted average of 6.9/10 ."
274,no,g24p2_274,5ece9461c9e77c0008466387,test,8367,ATP Tour Masters 1000,1e015e7e5a42,"Since 2009 , the Big Four won 78 of the last 96 ATP Tour Masters 1000 finals , through to 2019 Rogers Cup .","Since the start of 2009 , the Big Four ( Roger Federer , Rafael Nadal , Novak Djokovic , and Andy Murray ) have combined to win 78 of the last 96 ATP Tour Masters 1000 finals ( through to 2019 Rogers Cup ) , and had a streak of 42 consecutive finals","Since the start of 2009 , the Big Four ( Roger Federer , Rafael Nadal , Novak Djokovic , and Andy Murray ) have combined to win 78 of the last 97 ATP Tour Masters 1000 finals ( through to 2019 Cincinnati Masters ) , and had a streak of 42 consecutive"
275,no,g24p2_275,5ebe6f31c9e77c0008408ee2,train,51880,"Oakley, Inc.",cc2bd94ed1a7,The company Oakley works with successful athletes .,Oakley maintains a large sports team roster with successful athletes from varied sports .,Oakley maintains a large sports team roster that includes some of the World 's top athletes in various sports .
276,no,g24p2_276,5ec7d50bc9e77c0008440e30,dev,9576,Akiem Hicks,ce8b4808f3ae,Akiem Jamar Hicks plays as defensive tackle for the New England Patriots .,"Akiem Jamar Hicks ( born November 16 , 1989 ) is an American football defensive tackle for the New England Patriots of the National Football League ( NFL ) .","Akiem Jamar Hicks ( born November 16 , 1989 ) is an free agentAmerican football defensive tackle formerly of the New England Patriots of the National Football League ( NFL ) ."
277,no,g24p2_277,5ec284ffc9e77c0008417c2b,train,90205,Lil Mosey,e056c493b0cf,Lil Mosey is from Snohomish .,"Lathan Moses Echols ( born January 25 , 2002 ) , known professionally as Lil Mosey , is a rapper , singer , and songwriter from Snohomish , Washington .","Lathan Moses Echols ( born January 25 , 2002 ) , known professionally as Lil Mosey , is a rapper , singer , and songwriter from Mountlake Terrace , Washington ."
278,no,g24p2_278,5ed4de04c9e77c00084896ef,train,165873,M. Shadows,4ddf51a9e4db,Valary DiBenedetto is M. Shadows ' spouse .,"Shadows married Valary DiBendetto on October 17 , 2009 .","Shadows married josey fink on October 17 , 2009 ."
279,no,g24p2_279,5ec284fcc9e77c0008415e8f,train,100693,Roman Polanski sexual abuse case,db139fa4b344,CNN is a domestic network that tried to cover the hearing of the Roman Polanski sexual abuse case .,"Besides the usual domestic networks like CNN , international networks including France 2 and TVN24 also filed applications to cover the hearing .","Besides the usual US television stations like CNN , foreign channels including France 2 and TVN24 also filed applications to cover the hearing ."
