seed_rank_within_source,source,role,item_id,stratum,direction,claim_sha,claim,evidence
110,scifact,active,g24a_scifact_156,scifact/CONTRADICT,decrease,403ad1f09858,BCL-2 promotes the apoptotic effects of c-Myc.,"Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy."
111,scifact,active,g24a_scifact_105,scifact/CONTRADICT,decrease,7543de957235,Alteration of origin firing causes changes in termination zones of Okazaki fragments.,"Using a strain in which late origins can be induced to fire early, we show that replication termination is a largely passive phenomenon that does not rely on cis-acting sequences or replication fork pausing."
112,scifact,active,g24a_scifact_1018,scifact/SUPPORT,increase,67d5a9650c16,Rapid phosphotransfer rates are correlated with histidine kinase regulator specificity.,"Introduction of this methionine and an adjacent alanine residue into a range of noncognate CheYs, dramatically changed their specificity, allowing protein interaction and rapid phosphotransfer from CheA(3)-P. The structure presented here has allowed us to identify specificity determinants for the CheA-CheY interaction and subsequently to successfully reengineer phosphotransfer signalling."
113,scifact,active,g24a_scifact_1187,scifact/SUPPORT,increase,c92bd29e768b,The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,YAP/TAZ are transcription co-activators that regulate gene expression primarily through interaction with the TEA domain DNA-binding family of transcription factors (TEAD).
114,scifact,active,g24a_scifact_30,scifact/SUPPORT,increase,e4135d3dd47e,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"At 9 years of follow-up, the recurrence rates were 14.9% for extensive metabolizers, 20.9% for heterozygous extensive/intermediate metabolizers, and 29.0% for poor metabolizers, and all-cause mortality rates were 16.7%, 18.0%, and 22.8%, respectively. Compared with extensive metabolizers, there was a significantly increased risk of recurrence for heterozygous extensive/intermediate metabolizers (time to recurrence adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.04-1.90) and for poor metabolizers (time to recurrence HR, 1.90; 95% CI, 1.10-3.28). Compared with extensive metabolizers, those with decreased CYP2D6 activity (heterozygous extensive/intermediate and poor metabolism) had worse event-free survival (HR, 1.33; 95% CI, 1.06-1.68) and disease-free survival (HR, 1.29; 95% CI, 1.03-1.61), but there was no significant difference in overall survival (HR, 1.15; 95% CI, 0.88-1.51). CONCLUSION Among women with breast cancer treated with tamoxifen, there was an association between CYP2D6 variation and clinical outcomes, such that the presence of 2 functional CYP2D6 alleles was associated with better clinical outcomes and the presence of nonfunctional or reduced-function alleles with worse outcomes."
115,scifact,active,g24a_scifact_331,scifact/CONTRADICT,decrease,d9d4f2641bd3,Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,"We also show that eIF3f is recruited to activated Notch on endocytic vesicles by the putative E3 ubiquitin ligase Deltex1, which serves as a bridging factor."
116,scifact,active,g24a_scifact_114,scifact/SUPPORT,increase,3593075da921,Anthrax spores are very difficult to dispose once they are dispersed.,More than 80% of the B anthracis particles collected on stationary monitors were within an alveolar respirable size range of 0.95 to 3.5 micro m. CONCLUSIONS Bacillus anthracis spores used in a recent terrorist incident reaerosolized under common office activities.
117,scifact,active,g24a_scifact_79,scifact/SUPPORT,increase,c828c7c5df2a,Active caspase-11 protein promotes pyroptosis.,"Here, we demonstrated that caspase-11 was dispensable for caspase-1 activation in response to Legionella, Salmonella, Francisella, and Listeria. We also determined that active mouse caspase-11 was required for restriction of L. pneumophila infection."
118,scifact,active,g24a_scifact_98,scifact/CONTRADICT,decrease,e58ee7d819e2,Alirocumab treatment reduces apo(a) fractional clearance rate.,"RESULTS Alirocumab reduced ultracentrifugally isolated LDL-C by 55.1%, LDL-apoB by 56.3%, and plasma Lp(a) by 18.7%. The fall in LDL-apoB was caused by an 80.4% increase in LDL-apoB FCR and a 23.9% reduction in LDL-apoB PR. The FCR of apo(a) tended to increase (24.6%) without any change in apo(a) PR. CONCLUSIONS Alirocumab decreased LDL-C and LDL-apoB by increasing IDL- and LDL-apoB FCRs and decreasing LDL-apoB PR. The increase in apo(a) FCR during alirocumab treatment suggests that increased LDL receptors may also play a role in the reduction of plasma Lp(a)."
119,scifact,active,g24a_scifact_734,scifact/SUPPORT,increase,9b81e74f6df9,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,"However, when NVP-BEZ235 was combined with a mitogen-activated protein kinase kinase (MEK) inhibitor, ARRY-142886, there was marked synergy in shrinking these Kras-mutant cancers."
120,scifact,active,g24a_scifact_227,scifact/SUPPORT,increase,bebce4017f7f,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,"All patients with metastatic lung, colorectal, pancreatic or head and neck cancers who initially benefit from epidermal growth factor receptor (EGFR)-targeted therapies eventually develop resistance."
121,scifact,active,g24a_scifact_811,scifact/CONTRADICT,decrease,8cb36aa453e8,Mutant mice lacking SVCT2 have greatly increased ascorbic acid levels in both brain and adrenals.,Ascorbic-acid levels were undetectable or markedly reduced in the blood and tissues of Slc23a1−/− mice. Brain hemorrhage was unlikely to be simply a form of scurvy since Slc23a1−/− mice showed no hemorrhage in any other tissues and their skin had normal skin 4-hydroxyproline levels despite low ascorbic-acid content.
122,scifact,active,g24a_scifact_540,scifact/SUPPORT,increase,7a51bfcc7ac5,Hypothalamic glutamate neurotransmission is crucial to energy balance.,These mice have hypoglycemia during fasting secondary to impaired fasting-induced increases in the glucose-raising pancreatic hormone glucagon and impaired induction in liver of mRNAs encoding PGC-1alpha and the gluconeogenic enzymes PEPCK and G6Pase.
123,scifact,active,g24a_scifact_1088,scifact/CONTRADICT,decrease,bfe85abafd24,Silencing of Bcl2 is important for the maintenance and progression of tumors.,"Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy."
124,scifact,active,g24a_scifact_3,scifact/SUPPORT,increase,330890f49c56,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.","We propose as an alternative explanation that variants much less common than the associated one may create ""synthetic associations"" by occurring, stochastically, more often in association with one of the alleles at the common site versus the other allele. We show that they are not only possible, but inevitable, and that under simple but reasonable genetic models, they are likely to account for or contribute to many of the recently identified signals reported in genome-wide association studies. In conclusion, uncommon or rare genetic variants can easily create synthetic associations that are credited to common variants, and this possibility requires careful consideration in the interpretation and follow up of GWAS signals."
125,scifact,active,g24a_scifact_1087,scifact/CONTRADICT,decrease,6ad39f386a74,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,"Erectile function, arousal, ejaculation, orgasm, and overall satisfaction domain measures improved significantly in sildenafil compared with placebo patients. CONCLUSION In our study, sildenafil effectively improved erectile function and other aspects of sexual function in men with sexual dysfunction associated with the use of SRI antidepressants."
126,scifact,active,g24a_scifact_1246,scifact/CONTRADICT,decrease,a68f9581282c,The one-child policy has created a hospitable environment for female infants.,The early neonatal mortality was 29 in boys and 69 in girls per 1000 live births.
127,scifact,active,g24a_scifact_919,scifact/SUPPORT,increase,09cd2b856ae4,Participants who quit smoking reduce lung cancer risk by approximately 50%.,"The HR for light smokers was 0.44 (95% CI, 0.35-0.56); for quitters, HR 0.50 (95% CI, 0.36-0.69), for stable ex-smokers, HR 0.17 (95% CI, 0.13-0.23), and for never smokers, HR 0.09 (95% CI, 0.06-0.13)."
128,scifact,active,g24a_scifact_382,scifact/SUPPORT,increase,e5cf6efc26b2,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,"In this study, we describe a strategy for inducing aging-related features in human iPSC-derived lineages and apply it to the modeling of Parkinson's disease (PD). Our approach involves expression of progerin, a truncated form of lamin A associated with premature aging. Induced aging in PD iPSC-derived dopamine neurons revealed disease phenotypes that require both aging and genetic susceptibility, such as pronounced dendrite degeneration, progressive loss of tyrosine hydroxylase (TH) expression, and enlarged mitochondria or Lewy-body-precursor inclusions. Thus, our study suggests that progerin-induced aging can be used to reveal late-onset age-related disease features in hiPSC-based disease models."
129,scifact,active,g24a_scifact_861,scifact/CONTRADICT,decrease,2401c51482b7,Normal granulomas form in the presence of TNF in Zebrafish.,"In the absence of TNF, intracellular bacterial growth and granuloma formation were accelerated and was followed by necrotic death of overladen macrophages and granuloma breakdown. Thus, TNF is not required for tuberculous granuloma formation, but maintains granuloma integrity indirectly by restricting mycobacterial growth within macrophages and preventing their necrosis."
130,scifact,active,g24a_scifact_256,scifact/SUPPORT,increase,e87ca4da7b3d,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,Prevalences in individuals aged 16-24 years were 3·1% (2·2-4·3) in women and 2·3% (1·5-3·4) in men.
131,scifact,active,g24a_scifact_839,scifact/SUPPORT,increase,cc53547033be,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,"Our results showed that CH6 facilitated in vitro osteoblast-selective uptake of Plekho1 siRNA, mainly via macropinocytosis, and boosted in vivo osteoblast-specific Plekho1 gene silencing, which promoted bone formation, improved bone microarchitecture, increased bone mass and enhanced mechanical properties in both osteopenic and healthy rodents. These results indicate that osteoblast-specific aptamer-functionalized LNPs could act as a new RNAi-based bone anabolic strategy, advancing the targeted delivery selectivity of osteogenic siRNAs from the tissue level to the cellular level."
132,scifact,active,g24a_scifact_1248,scifact/SUPPORT,increase,72003c780b40,The peak incidence of fractures occurs during pubertal growth spurt in early adolescents.,"CONTEXT The incidence of distal forearm fractures in children peaks around the time of the pubertal growth spurt, possibly because physical activity increases at the time of a transient deficit in cortical bone mass due to the increased calcium demand during maximal skeletal growth."
133,scifact,active,g24a_scifact_1274,scifact/SUPPORT,increase,b38bee12f9e3,The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) carries toxic effector proteins.,"Here we report that proteins from the PAAR (proline-alanine-alanine-arginine) repeat superfamily form a sharp conical extension on the VgrG spike, which is further involved in attaching effector domains to the spike. The crystal structures of two PAAR-repeat proteins bound to VgrG-like partners show that these proteins sharpen the tip of the T6SS spike complex. Our results indicate a new model of the T6SS organelle in which the VgrG-PAAR spike complex is decorated with multiple effectors that are delivered simultaneously into target cells in a single contraction-driven translocation event."
134,scifact,active,g24a_scifact_1202,scifact/SUPPORT,increase,2dfa2f32a379,The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,"We found that the centers of granulomas have a pro-inflammatory environment that is characterized by the presence of antimicrobial peptides, reactive oxygen species and pro-inflammatory eicosanoids."
135,scifact,active,g24a_scifact_1368,scifact/SUPPORT,increase,1781ad2f1200,Vitamin D deficiency effects the term of delivery.,"Insufficient serum levels of 25-OHD were associated with gestational diabetes (pooled odds ratio 1.49, 95% confidence interval 1.18 to 1.89), pre-eclampsia (1.79, 1.25 to 2.58), and small for gestational age infants (1.85, 1.52 to 2.26). Pregnant women with low serum 25-OHD levels had an increased risk of bacterial vaginosis and low birthweight infants but not delivery by caesarean section. CONCLUSION Vitamin D insufficiency is associated with an increased risk of gestational diabetes, pre-eclampsia, and small for gestational age infants. Pregnant women with low 25-OHD levels had an increased risk of bacterial vaginosis and lower birth weight infants, but not delivery by caesarean section."
136,scifact,active,g24a_scifact_116,scifact/SUPPORT,increase,3d21ed3a75ab,Anthrax spores remain deadly until affected areas are decontaminated.,More than 80% of the B anthracis particles collected on stationary monitors were within an alveolar respirable size range of 0.95 to 3.5 micro m. CONCLUSIONS Bacillus anthracis spores used in a recent terrorist incident reaerosolized under common office activities.
137,scifact,active,g24a_scifact_230,scifact/SUPPORT,increase,36d31652ab91,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,Individuals homozygous for the null variant (*2*2) experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type homozygotes (*1*1) or heterozygotes.
138,scifact,active,g24a_scifact_461,scifact/SUPPORT,increase,5fa9fc55d098,Genetic deletion of JAM-A increases gut permeability.,"Mice lacking junctional adhesion molecule A (JAM-A, encoded by F11r) exhibit enhanced intestinal epithelial permeability, bacterial translocation, and elevated colonic lymphocyte numbers, yet do not develop colitis."
139,scifact,active,g24a_scifact_483,scifact/SUPPORT,increase,e89054baaa0e,H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.,H. pylori–mediated upregulation of AID resulted in the accumulation of nucleotide alterations in the TP53 tumor suppressor gene in gastric cells in vitro. Our findings provide evidence that aberrant AID expression caused by H. pylori infection might be a mechanism of mutation accumulation in the gastric mucosa during H. pylori–associated gastric carcinogenesis.
140,scifact,active,g24a_scifact_744,scifact/SUPPORT,increase,b8389897e455,Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,"Here, we demonstrate that protein macropinocytosis can also serve as an essential amino acid source."
141,scifact,active,g24a_scifact_1176,scifact/SUPPORT,increase,a6b7350ffc90,The PRDM1 gene is a key determinant of primordial germ cells.,"Blimp1 (Prdm1), the key determinant of primordial germ cells (PGCs), plays a combinatorial role with Prdm14 during PGC specification from postimplantation epiblast cells."
142,scifact,active,g24a_scifact_444,scifact/SUPPORT,increase,2827255a1ee8,GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.,"Furthermore, Gata3 mutant hematopoietic progenitor cells fail to be recruited into an increased cycling state after 5-fluorouracil-induced myelosuppression. Therefore, GATA-3 is required for the maintenance of a normal number of LT-HSCs and for their entry into the cell cycle."
143,scifact,active,g24a_scifact_243,scifact/SUPPORT,increase,8e7ea5a18758,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.","Replication-timing changes were coordinated with transcription changes for weak promoters more than strong promoters, and were accompanied by rearrangements in subnuclear position."
144,scifact,active,g24a_scifact_1339,scifact/CONTRADICT,decrease,0ea3e251c072,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,"Ultrasound imaging reduced the risk of failed procedures (risk ratio 0.21 (95% confidence interval 0.10 to 0.43), P<0.001). Risk reduction was similar when subgroup analysis was performed for lumbar punctures (risk ratio 0.19 (0.07 to 0.56), P=0.002) or epidural catheterisations (0.23 (0.09 to 0.60), P=0.003). Ultrasound imaging also significantly reduced the risk of traumatic procedures (risk ratio 0.27 (0.11 to 0.67), P=0.005), the number of insertion attempts (mean difference -0.44 (-0.64 to -0.24), P<0.001), and the number of needle redirections (mean difference -1.00 (-1.24 to -0.75), P<0.001). CONCLUSIONS Ultrasound imaging can reduce the risk of failed or traumatic lumbar punctures and epidural catheterisations, as well as the number of needle insertions and redirections."
145,scifact,active,g24a_scifact_570,scifact/SUPPORT,increase,fb1588c00bb0,"In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.","Progression to invasion was promoted by fibroblasts and inhibited by normal myoepithelial cells. Molecular profiles of isolated luminal epithelial and myoepithelial cells identified an intricate interaction network involving TGFbeta, Hedgehog, cell adhesion, and p63 required for myoepithelial cell differentiation, the elimination of which resulted in loss of myoepithelial cells and progression to invasion."
146,scifact,active,g24a_scifact_470,scifact/SUPPORT,increase,c9c2caf062f1,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.","These include glioblastoma multiforme (GBM), which is characterized by independent but interrelated features of extensive invasion into normal brain parenchyma, rapid growth, necrosis, and angiogenesis."
147,scifact,active,g24a_scifact_1086,scifact/SUPPORT,increase,4046d3ccb644,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,"At a CGI-SF score of 2 or lower, 54.5% (24/44) of sildenafil compared with 4.4% (2/45) of placebo patients were much or very much improved (P<.001). Erectile function, arousal, ejaculation, orgasm, and overall satisfaction domain measures improved significantly in sildenafil compared with placebo patients. CONCLUSION In our study, sildenafil effectively improved erectile function and other aspects of sexual function in men with sexual dysfunction associated with the use of SRI antidepressants."
148,scifact,active,g24a_scifact_104,scifact/CONTRADICT,decrease,71625161291f,Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,"The 1-year incidence of SAEs was 33.3% (n = 5) in the allogeneic group and 53.3% (n = 8) in the autologous group (P =.46). At 1 year, there were no ventricular arrhythmia SAEs observed among allogeneic recipients compared with 4 patients (26.7%) in the autologous group (P =.10). Allogeneic and autologous MSCs reduced mean EED by −33.21% (95% CI, −43.61% to −22.81%; P <.001) and sphericity index but did not increase EF. CONCLUSIONS In this early-stage study of patients with ICM, transendocardial injection of allogeneic and autologous MSCs without a placebo control were both associated with low rates of treatment-emergent SAEs, including immunologic reactions."
149,scifact,active,g24a_scifact_1110,scifact/CONTRADICT,decrease,2be74a0fff57,Suboptimal nutrition is not predictive of chronic disease,"In 2015, the ten largest contributors to global DALYs among Level 3 risks were high systolic blood pressure (211·8 million [192·7 million to 231·1 million] global DALYs), smoking (148·6 million [134·2 million to 163·1 million]), high fasting plasma glucose (143·1 million [125·1 million to 163·5 million]), high BMI (120·1 million [83·8 million to 158·4 million]), childhood undernutrition (113·3 million [103·9 million to 123·4 million]), ambient particulate matter (103·1 million [90·8 million to 115·1 million]), high total cholesterol (88·7 million [74·6 million to 105·7 million]), household air pollution (85·6 million [66·7 million to 106·1 million]), alcohol use (85·0 million [77·2 million to 93·0 million]), and diets high in sodium (83·0 million [49·3 million to 127·5 million])."
150,scifact,active,g24a_scifact_1376,scifact/CONTRADICT,decrease,a6c913130325,Whole brain radiotherapy increases the occurrence of new brain metastases.,"The 12-month brain tumor recurrence rate was 46.8% in the WBRT + SRS group and 76.4% for SRS alone group (P<.001). CONCLUSIONS Compared with SRS alone, the use of WBRT plus SRS did not improve survival for patients with 1 to 4 brain metastases, but intracranial relapse occurred considerably more frequently in those who did not receive WBRT."
151,scifact,active,g24a_scifact_219,scifact/CONTRADICT,decrease,952f24feacbf,CX3CR1 on the Th2 cells suppresses airway inflammation.,"Here we found that untreated CX3CR1-deficient mice or wild-type (WT) mice treated with CX3CR1-blocking reagents show reduced lung disease upon allergen sensitization and challenge. Transfer of WT CD4(+) T cells into CX3CR1-deficient mice restored the cardinal features of asthma, and CX3CR1-blocking reagents prevented airway inflammation in CX3CR1-deficient recipients injected with WT T(H)2 cells."
152,scifact,active,g24a_scifact_935,scifact/SUPPORT,increase,ce63cc261977,Peroxynitrite is required for induction of T cell tolerance.,Nitration of TCR-CD8 is induced by MDSCs through hyperproduction of reactive oxygen species and peroxynitrite during direct cell-cell contact. These data identify a previously unknown mechanism of T-cell tolerance in cancer that is also pertinent to many pathological conditions associated with accumulation of MDSCs.
153,scifact,active,g24a_scifact_1273,scifact/SUPPORT,increase,b14ee19cdfec,The sliding activity of kinesin-8 protein Kip3 promotes bipolar spindle assembly.,"In conjunction with Cin8, a kinesin-5 family member, the sliding activity of Kip3 promotes bipolar spindle assembly and the maintenance of genome stability."
154,scifact,active,g24a_scifact_797,scifact/SUPPORT,increase,c89a76e6b43b,Mitochondria play a major role in energy production.,Mitochondria are the primary energy-generating system in most eukaryotic cells.
155,scifact,active,g24a_scifact_1042,scifact/CONTRADICT,decrease,4c95a1e44574,Repressing IL-18 has negative effects on atherosclerotic lesion composition and progression.,"Interestingly, significantly higher levels of IL-18 mRNA were found in symptomatic (unstable) plaques than asymptomatic (stable) plaques (P<0.01). CONCLUSIONS These results suggest, for the first time, a major role for IL-18 in atherosclerotic plaque destabilization leading to acute ischemic syndromes."
156,scifact,active,g24a_scifact_927,scifact/CONTRADICT,decrease,db2d0477d911,Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,"For example, the adjusted odds ratio for patients with breast cancer in the least compared with most deprived fifth of deprivation was 0.63 (95% confidence interval 0.60 to 0.66) and the adjusted odds ratio for patients with lung cancer aged 80-89 compared with those aged 50-59 was 3.13 (2.93 to 3.34). There were some improvements in disparities between age groups but not for patients living in deprived areas over time. For example, 67.4% (3529/5237) of patients in the most deprived fifth of deprivation had anterior resection for rectal cancer compared with 75.5% (4497/5959) of patients in the least deprived fifth (1.34, 1.22 to 1.47)."
157,scifact,active,g24a_scifact_1229,scifact/SUPPORT,increase,ef860d905b12,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,"CLASPs are further required for FA-associated ECM degradation, and matrix metalloprotease inhibition slows FA disassembly similarly to CLASP or PHLDB2 (LL5β) depletion."
158,scifact,active,g24a_scifact_553,scifact/CONTRADICT,decrease,05ad93121478,IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,We found that TG2-specific plasma cells are markedly expanded within the duodenal mucosa in individuals with active celiac disease.
159,scifact,active,g24a_scifact_218,scifact/SUPPORT,increase,d45b84f896d6,CX3CR1 on the Th2 cells promotes airway inflammation.,"Here we found that untreated CX3CR1-deficient mice or wild-type (WT) mice treated with CX3CR1-blocking reagents show reduced lung disease upon allergen sensitization and challenge. Transfer of WT CD4(+) T cells into CX3CR1-deficient mice restored the cardinal features of asthma, and CX3CR1-blocking reagents prevented airway inflammation in CX3CR1-deficient recipients injected with WT T(H)2 cells. CX3CR1-induced survival was also observed for T(H)1 cells upon airway inflammation but not under homeostatic conditions or upon peripheral inflammation."
160,scifact,active,g24a_scifact_784,scifact/SUPPORT,increase,1a12dea27fc5,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,"High levels of miR-184 promoted proliferation but inhibited differentiation of aNSCs, whereas inhibition of miR-184 rescued the phenotypes associated with MBD1 deficiency."
161,scifact,active,g24a_scifact_118,scifact/SUPPORT,increase,57628d8d8728,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,"Antibiotics can have significant and long-lasting effects on the gastrointestinal tract microbiota, reducing colonization resistance against pathogens including Clostridium difficile. Our results indicate that antibiotic-mediated alteration of the gut microbiome converts the global metabolic profile to one that favours C. difficile germination and growth."
162,scifact,active,g24a_scifact_789,scifact/SUPPORT,increase,6994f2599a57,Microglia are an innate immune cell type of the central nervous system.,"These physiological functions of microglia in the normal CNS begin during development and persist into maturity. Here, we develop a conceptual framework for functions of microglia beyond neuroinflammation and discuss the rich repertoire of signaling and communication motifs in microglia that are critical both in pathology and for the normal physiology of the CNS."
163,scifact,active,g24a_scifact_143,scifact/SUPPORT,increase,fc1af4e2ba30,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,"Also, during the 1-year follow-up, combined analysis of MSC-treated groups revealed significantly decreased risk of opportunistic infections than the control group (hazard ratio, 0.42; 95% CI, 0.20-0.85, P=.02) CONCLUSION Among patients undergoing renal transplant, the use of autologous MSCs compared with anti-IL-2 receptor antibody induction therapy resulted in lower incidence of acute rejection, decreased risk of opportunistic infection, and better estimated renal function at 1 year."
164,scifact,active,g24a_scifact_603,scifact/SUPPORT,increase,b4a4604e6a82,Increased LDL receptors plays a role in the reduction of plasma Lp(a).,"RESULTS Alirocumab reduced ultracentrifugally isolated LDL-C by 55.1%, LDL-apoB by 56.3%, and plasma Lp(a) by 18.7%. The fall in LDL-apoB was caused by an 80.4% increase in LDL-apoB FCR and a 23.9% reduction in LDL-apoB PR. The latter was due to a 46.1% increase in IDL-apoB FCR coupled with a 27.2% decrease in conversion of IDL to LDL. The increase in apo(a) FCR during alirocumab treatment suggests that increased LDL receptors may also play a role in the reduction of plasma Lp(a)."
165,scifact,active,g24a_scifact_1341,scifact/SUPPORT,increase,66747d617644,Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.,"Ultrasound imaging reduced the risk of failed procedures (risk ratio 0.21 (95% confidence interval 0.10 to 0.43), P<0.001). Risk reduction was similar when subgroup analysis was performed for lumbar punctures (risk ratio 0.19 (0.07 to 0.56), P=0.002) or epidural catheterisations (0.23 (0.09 to 0.60), P=0.003). Ultrasound imaging also significantly reduced the risk of traumatic procedures (risk ratio 0.27 (0.11 to 0.67), P=0.005), the number of insertion attempts (mean difference -0.44 (-0.64 to -0.24), P<0.001), and the number of needle redirections (mean difference -1.00 (-1.24 to -0.75), P<0.001). CONCLUSIONS Ultrasound imaging can reduce the risk of failed or traumatic lumbar punctures and epidural catheterisations, as well as the number of needle insertions and redirections."
166,scifact,reserve,g24a_scifact_1333,scifact/SUPPORT,increase,71394ec2b331,Two variants of chromosome 6q21 are associated with radiation therapy-induced second malignancies in pediatric Hodgkin lymphoma patients.,We identified two variants at chromosome 6q21 associated with SMNs in survivors of Hodgkin's lymphoma treated with radiation therapy as children but not as adults.
167,scifact,reserve,g24a_scifact_790,scifact/CONTRADICT,decrease,5ffbcf7261ee,Microglia are an innate immune cell type of the peripheral nervous system.,"These physiological functions of microglia in the normal CNS begin during development and persist into maturity. Here, we develop a conceptual framework for functions of microglia beyond neuroinflammation and discuss the rich repertoire of signaling and communication motifs in microglia that are critical both in pathology and for the normal physiology of the CNS."
168,scifact,reserve,g24a_scifact_1320,scifact/CONTRADICT,decrease,4d346a2505b4,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,"Long-term potentiation (LTP) was sharply enhanced in the human glial chimeric mice, as was their learning, as assessed by Barnes maze navigation, object-location memory, and both contextual and tone fear conditioning."
169,scifact,reserve,g24a_scifact_426,scifact/SUPPORT,increase,cded37c2f6dd,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,"The forkhead O (FoxO) family of transcription factors participates in diverse physiologic processes, including induction of cell-cycle arrest, stress resistance, differentiation, apoptosis, and metabolism."
170,scifact,reserve,g24a_scifact_1319,scifact/SUPPORT,increase,8a93a9724ca9,Transplanted human glial cells can differentiate within the host animal.,"Upon maturation, the recipient brains exhibited large numbers and high proportions of both human glial progenitors and astrocytes."
171,scifact,reserve,g24a_scifact_335,scifact/SUPPORT,increase,cabb2f7507ab,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,"Finally, mice harbouring a Hand2 knock-out specifically in their endometrium were shown to develop precancerous endometrial lesions with increasing age, and these lesions also demonstrated a lack of PTEN expression."
172,scifact,reserve,g24a_scifact_466,scifact/CONTRADICT,decrease,f44e1f7b02d5,Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.,"Hutchinson-Gilford progeria syndrome (HGPS) is a childhood premature aging disease caused by a spontaneous point mutation in lamin A (encoded by LMNA), one of the major architectural elements of the mammalian cell nucleus. The mutant LMNA mRNA and lamin A protein can be efficiently eliminated by correction of the aberrant splicing event using a modified oligonucleotide targeted to the activated cryptic splice site. Upon splicing correction, HGPS fibroblasts assume normal nuclear morphology, the aberrant nuclear distribution and cellular levels of lamina-associated proteins are rescued, defects in heterochromatin-specific histone modifications are corrected and proper expression of several misregulated genes is reestablished."
173,scifact,reserve,g24a_scifact_1340,scifact/SUPPORT,increase,2375c98193de,Ultrasound guidance significantly reduces the number of needle insertion attempts necessary for a given procedure.,"Ultrasound imaging also significantly reduced the risk of traumatic procedures (risk ratio 0.27 (0.11 to 0.67), P=0.005), the number of insertion attempts (mean difference -0.44 (-0.64 to -0.24), P<0.001), and the number of needle redirections (mean difference -1.00 (-1.24 to -0.75), P<0.001). CONCLUSIONS Ultrasound imaging can reduce the risk of failed or traumatic lumbar punctures and epidural catheterisations, as well as the number of needle insertions and redirections."
174,scifact,reserve,g24a_scifact_295,scifact/SUPPORT,increase,e99cbfa29181,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,"TNF-α produced by CD103(-)CD11b(+) dendritic cells synergized with IL-23 to drive IL-17A production by ILCs, demonstrating a previously unrecognized layer of cellular crosstalk between dendritic cells and ILCs. Crucially, T-bet also suppressed the expression of IL-7R, a key molecule involved in controlling intestinal ILC homeostasis. The importance of IL-7R signaling in TRUC disease was highlighted by the dramatic reduction in intestinal ILCs and attenuated colitis following IL-7R blockade. Taken together, these data demonstrate the mechanism by which T-bet regulates the complex interplay between mucosal dendritic cells, ILCs, and the intestinal microbiota."
