seed_rank,active_200,cfb_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
212,no,g24cfb_212,5ede072fc9e77c00084d29fd,train,216324,Classical economics,f8eab070979b,Many people believe that Edgar economics was the first modern school of economic thought .,Edgar economics is widely regarded as the first modern school of economic thought .,Classical economics is widely regarded as the first modern school of economic thought .
213,no,g24cfb_213,5ec284fec9e77c0008416eb3,train,114708,Young Dolph,0589ddd2829b,"Adolph Thornton , Jr. was born after March 10 , 1985 .","Adolph Thornton , Jr. ( born August 11 , 1985 ) , better known by his stage name Young Dolph , is an American rapper .","Adolph Thornton , Jr. ( born March 5 , 1985 ) , better known by his stage name Young Dolph , is an American rapper ."
214,no,g24cfb_214,5ea2d97dc9e77c0009cdb360,train,124448,Malachite,55d092287892,Malachite is a copper carbonate hydroxide mineral .,"Malachite is a copper carbonate hydroxide mineral , with the formula Cu2CO3 ( OH ) 2 .","Maryam is a copper carbonate hydroxide mineral , with the formula Cu2CO3 ( OH ) 2 ."
215,no,g24cfb_215,5eafed80c9e77c0009ce114e,train,4404,Dan Bailey -LRB-American football-RRB-,003d8608d0a4,His goal accuracy is higher than that of all current NFL players .,He has the highest field goal accuracy of active NFL kickers.,He has the highest field goal accuracy of any NFL kickers in history.
216,no,g24cfb_216,5ec7d50dc9e77c0008442392,train,101758,Scooter Braun,6620e2c36c58,Scott Braun is known by the nickname `` Scooter '' .,"Scott Samuel `` Scooter '' Braun ( born June 18 , 1981 ) is an American entrepreneur , talent manager , investor , philanthropist , and entertainment executive .","Scott Samuel `` Pooter '' Braun ( born June 18 , 1981 ) is an American entrepreneur , talent manager , investor , philanthropist , and entertainment executive ."
217,no,g24cfb_217,5ec5598cc9e77c000842c1c2,train,67654,Batman Forever,49daee21c55c,Ed Begley Jr played Fred Stickley in Batman Forever .,Ofer Samra as Two-Face 's Thug* Ed Begley Jr as Fred Stickley : Edward Nygma 's ill-tempered supervisor at Wayne Enterprises .,Ofer Samra as Two-Face 's Thug* René Auberjonois as Fred Stickley : Edward Nygma 's ill-tempered supervisor at Wayne Enterprises .
218,no,g24cfb_218,5ec284fcc9e77c0008415c8f,train,93390,Mike Epps,f844f71fef10,Mike Epps was born before 1969 .,"Kyra Robinson ( 2019 ) } } Michael Elliot Epps ( born November 18 , 1968 ) is an American stand-up comedian , actor , film producer , writer , and rapper .","Kyra Robinson ( 2019 ) } } Michael Elliot Epps ( born November 18 , 1970 ) is an American stand-up comedian , actor , film producer , writer , and rapper ."
219,no,g24cfb_219,5ec5598bc9e77c000842bf62,train,82113,Guest iin London,ce5b98935960,"In `` Guest iin London '' ( film ) , Kartik Aaryan 's character lives with his girlfriend .","The film is a comedy revolving around Kartik Aaryan 's character , who is in a live-in relationship with his girlfriend ( Kriti Kharbanda ) when Paresh Rawal and his wife ( Tanvi Azmi ) barge into his home as guests , setting off a laugh-riot.","The film is a comedy revolving around Kartik Aaryan 's character , who lives with his wife ( Kriti Kharbanda ) when Paresh Rawal and his wife ( Tanvi Azmi ) barge into his home as guests , setting off a laugh-riot."
220,no,g24cfb_220,5eb29889c9e77c0008d943cc,train,25079,Thessaloniki,13711bcbc77e,Bitola is located in the Republic of Macedonia .,"`` When Eleftherios Venizelos , Prime Minister at the time , was asked if the Greek army should move towards Thessaloniki or Monastir ( now Bitola , Republic of Macedonia ) , Venizelos replied `` '' ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ! '' '' ( ``","`` When Eleftherios Venizelos , Prime Minister at the time , was asked if the Greek army should move towards Thessaloniki or Monastir ( now Bitola , Republic of North Macedonia ) , Venizelos replied `` '' ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ! '' '' ( ``"
221,no,g24cfb_221,5eb9573bc9e77c0008fa1a56,train,31628,Thessaloniki,50ed488b6819,Italian Poselli is a notable name in Thessaloniki .,Other notable names of the era include the Italian Jewish Modiano family and the Italians Poselli .,Notable names of the era include among others the Italo-Jewish Modiano family and the Allatini .
222,no,g24cfb_222,5ece9463c9e77c00084678fc,train,152914,Glenn Whelan,6d1e09992771,Glenn Whelan was raised in Palmerstown .,Whelan grew up in Palmerstown and attended St. Lorcan 's Boys ' National School.,Whelan grew up in Clondalkin and attended St. Lorcan 's Boys ' National School.
223,no,g24cfb_223,5ec284fec9e77c0008416f57,train,72393,Cissy Houston,70b1aa47084d,Cissy Houston has won one Grammy Award .,"She led a successful career as a backup singer for such artists as Elvis Presley and Aretha Franklin , and is now primarily a solo artist , and has won a Grammy Award for her work .","She led a successful career as a backup singer for such artists as Elvis Presley and Aretha Franklin , and is now primarily a solo artist , and has won 2 Grammy Awards for her work ."
224,no,g24cfb_224,5ed4de07c9e77c000848a345,train,148145,Egyptian Premier League,7f025731af51,All Egyptian Premier League matches are broadcast on the channel Al Hayat .,All matches are televised on the state-owned channel NileSports as well as ON TV and Al-Hayat.,All matches are televised on the state-owned channel NileSports as well as ON TV and DMC Sport.
225,no,g24cfb_225,5ee393b8c9e77c0008ccd302,train,218544,Impact of the 2019–20 coronavirus pandemic on sports,8f4b7aa7fc61,Prices were reduced to half in Royal Randwick .,"In Royal Randwick , all Group One and some Group two races in The Champions meeting prize reduced 50 % .","In Randwick Racecourse , Racing NSW announced all Group One and some Group two races in The Champions meeting prize reduced 50 % ."
226,no,g24cfb_226,5ec7d50dc9e77c0008441a37,train,93627,Mimi Rogers,edc110dc56ee,"Mimi Rogers has a daughter Lucy Ciaffa , born before 1995 .","They have a daughter , Lucy Julia Ciaffa ( born 1994 ) , and a son , Charles Ciaffa ( born 2001 ) .","They have a daughter , Lucy Julia Ciaffa ( born November 1995 ) , and a son , Charles Ciaffa ( born July 2001 ) ."
227,no,g24cfb_227,5ed7ad01c9e77c00084a6203,dev,22529,Mr. Church,1cb13ebf53cc,Rotten Tomatoes gave the film Mr. Church an approval rating lower than 18 % .,"On the review aggregator Rotten Tomatoes , the film has an approval rating of 14 % , based on 7 reviews , with an average rating of 3.1/10 .","On the review aggregator Rotten Tomatoes , the film has an approval rating of 22 % , based on 7 reviews , with an average rating of 3.1/10 ."
228,no,g24cfb_228,5ec284fcc9e77c0008415f98,train,92813,MediaCityUK,f4b61256ef7c,The estimated costs for moving the BBC vary between £190 million to £440 million .,The cost for the BBC moving to MediaCityUK over a 30 year period varies with estimates ranging from £190 million to £440 million.,"In 2009 the BBC estimated that the move would cost up to £1 billion but in May 2011 , Director General Mark Thompson claimed the cost of moving was much less."
229,no,g24cfb_229,5ee393b6c9e77c0008ccc1a1,train,200191,2020 coronavirus pandemic in Greece,926156621e38,"In Greece , there has been only one COVID-19 death .","there have been 190 confirmed cases , two recoveries and one death .","there have been 190 confirmed cases , 2 recoveries and 3 deaths ."
230,no,g24cfb_230,5ed7ad03c9e77c00084a743e,test,21511,Raaj Kumar,2bf630b54138,Raaj Kumar is a member of the Kashmiri Pandit family .,"Raaj Kumar was born in Loralai , Balochistan , British India in a Kashmiri Pandit family .","Raaj Kumar was born in Loralai , Balochistan , British India in a Kashmiri Rajput family ."
231,no,g24cfb_231,5ee39417c9e77c0008cce1a8,train,241086,One-Punch Man,73b61611f74a,Saitama pretended to be a disciple of Fang in One-Punch Man .,"In order to support himself financially , Saitama enters a martial arts tournament in disguise as Charanko , a disciple of Fang .","In order to support himself financially , Saitama enters a martial arts tournament in disguise as Charanko , a disciple of Bang ."
232,no,g24cfb_232,5ee393b6c9e77c0008ccc24d,dev,32330,2019–20 coronavirus pandemic,73a368abc3ce,Coronavirus has killed less than three people outside of China .,"There have been two deaths outside mainland China : the first in the Philippines , where a man from Wuhan died on 1 February and the second in Hong Kong , where a man who visited Wuhan died on 4 February .","There have been three deaths outside mainland China : the first in the Philippines , where a man from Wuhan died on 1 February , the second in Hong Kong , where a man who visited Wuhan died on 4 February , and a third who died in Japan ."
233,no,g24cfb_233,5ed7ad03c9e77c00084a775a,train,172771,Pardison Fontaine,3d5cc8f1a795,Pardison Fontaine was born on November 9 .,"Jordan Kyle Lanier Thorpe  ? detail=writerid & page=1 & fromrow=1 & torow=25 & keyid=1108267 & subid=0 ( born November 9 , 1989 ) , known professionally as Pardison Fontaine , is an American rapper and songwriter .","Jordan Kyle Lanier Thorpe  ? detail=writerid & page=1 & fromrow=1 & torow=25 & keyid=1108267 & subid=0 ( born November 29 , 1989 ) , known professionally as Pardison Fontaine , is an American rapper and songwriter ."
234,no,g24cfb_234,5ebe6f30c9e77c000840865e,train,47681,Robert Green,8a6f868363f8,Robert Green used to play for Leeds United .,Green stated in an interview with former club Leeds United that he is studying at the Open University for a BA Hons Business Management Degree in order to have something to focus on after he retires from football.,Green stated in an interview with current club Leeds United that he is studying at the Open University for a BA Hons Business Management Degree in order to have something to focus on after he retires from football.
235,no,g24cfb_235,5ee3932cc9e77c0008ccac74,train,214027,2020 coronavirus pandemic in Virginia,72773ad66302,"Before April 11 , 2020 , the hospital resource used due to the coronavirus pandemic would peak in Virginia on April 26 .","As of April 10 , the IHME was projecting that the hospital resource use due to COVID-19 would peak in Virginia on April 26.","As of April 13 , the IHME was projecting that the hospital resource use due to COVID-19 would peak in Virginia on April 27."
236,no,g24cfb_236,5eb29886c9e77c0008d92b4a,train,13043,Larry Ellison,b888c541fc0f,"According to the Forbes 2017 list , Larry Ellison is ranked as the eighth richest person in the world with a fortune of $ 61.5 billion .","As of August 2017 , he was listed by Forbes magazine as the fifth-wealthiest person in America and as the eigth-wealthiest person in the world , with a fortune of $ 61.5 billion .","As of August 2017 , he was listed by Forbes magazine as the fifth-wealthiest person in America and as the seventh-wealthiest in the world , with a fortune of $ 61.8 billion ."
237,no,g24cfb_237,5ed4de08c9e77c000848a5e5,train,182217,Suicidal Tendencies,c4a5e7906534,The band Suicidal Tendencies has a full-length release scheduled for summer 2018 .,"was released on March 9 , 2018 , and is the first of two releases the band has planned for release that year ; the second being a new full-length , due for release in the summer of 2018.","was released on March 9 , 2018 , and is the first of two releases the band has planned for release that year ; the second being a new full-length , due for release in September 2018."
238,no,g24cfb_238,5ece9462c9e77c0008466f05,test,16149,2007–08 Premier League,abb6ea355661,Fernando Torres has won more than one PFA Fans ' Player of the Year .,"2007 winner , Fernando Torres , was named the PFA Fans ' Player of the Year in 2008 .","Fernando Torres , was named the PFA Fans ' Player of the Year in 2008 ."
239,no,g24cfb_239,5ece9462c9e77c0008466c57,train,75597,Digicel,844c74301fab,"Digicel Pacific provides services in less than four markets , with an imminent launch in Vanuatu .","Meanwhile its sister operation Digicel Pacific to date ( Jan 2008 ) operates in three markets in the South Pacific ( Samoa , Papua New Guinea and Tonga ) with launches imminent in Fiji and Vanuatu .","Meanwhile its sister operation Digicel Pacific to date ( Jan 2008 ) operates in four markets in the South Pacific ( Samoa , Papua New Guinea , Tonga and Vanuatu ) with launch imminent in Fiji ."
240,no,g24cfb_240,5ee3949bc9e77c0008ccff69,test,31508,Freddie Highmore,b7cb1b89a83f,Two Brothers premiered in 2004 .,"Highmore has acted alongside members of his family in two separate films ; his brother Bertie played his brother in Women Talking Dirty , and his father Edward played his father in Hallmark Entertainment 's television film Jack and the Beanstalk : The Real Story ( 2001 ) .In 2004 , Highmore returned to the big screen for the family adventure film Two Brothers , directed by Jean-Jacques Annaud .","Highmore has acted alongside members of his family in two separate films ; his brother Bertie played his brother in Women Talking Dirty , and his father Edward played his father in Hallmark Entertainment 's television film Jack and the Beanstalk : The Real Story ( 2001 ) .In 2003 , Highmore returned to the big screen for the family adventure film Two Brothers , directed by Jean-Jacques Annaud ."
241,no,g24cfb_241,5ede072ec9e77c00084d256a,dev,23231,Raving Rabbids,5d093fa8dfc0,The decline in critical acclaim of the Rabbids game has been linked to influence of fans ' perception .,The Rabbids have been accused of causing the series ' perceived decline in quality by fans and critics .,The Rayman series ' genre shift and decline in critical acclaim has been linked to Rabbids by fans and critics .
242,no,g24cfb_242,5ec284fec9e77c0008417892,train,74771,Ddu-Du Ddu-Du,ae31c58c4ed1,"By July 2019 , the music video Ddu Du Ddu Du has surpassed 895 million views .","As of July 2019 , the video has surpassed 895 million views .","As of July 2019 , the video has surpassed 900 million views ."
243,no,g24cfb_243,5ec7d50ec9e77c0008442b98,train,102144,Sergei Rachmaninoff,275d1670c4a3,Sergei Rachmaninoff was a Russian-American composer .,"Sergei Vasilyevich Rachmaninoff ( Серге́й Васи́льевич Рахма́нинов ) ( 28 March 1943 ) was a Russian-American composer , virtuoso pianist and conductor of the late Romantic period , some of whose works are among the most popular in the Romantic repertoire .","Sergei Vasilyevich Rachmaninoff ( Серге́й Васи́льевич Рахма́нинов ) ( 28 March 1943 ) was a Russian composer , virtuoso pianist and conductor of the late Romantic period , some of whose works are among the most popular in the Romantic repertoire ."
244,no,g24cfb_244,5eb9573ac9e77c0008fa181a,train,30309,"Adama Traor� -LRB-footballer, born 1996-RRB-",3cb299cd5dd1,Traore 's 50th competitive appearance for Wolves was played at Eithad Stadium .,"On 6 October 2019 , in his fiftieth competitive appearance for Wolves , Traor� scored both goals for his team , his second and third goals in a Wolves shirt , in a 2-0 victory against reigning Premier League Champions Manchester City at the Etihad Stadium.","On 6 October 2019 , in his 50th competitive appearance for Wolves , Traor� scored both goals in a 2�0 victory against reigning champions Manchester City at the City of Manchester Stadium."
245,no,g24cfb_245,5ed4de06c9e77c0008489dcd,train,172679,Pandit,0b55c47df4a4,Pandit is a Guru in Gurukul .,He may be a Guru in a Gurukul .,He may be a Guru in a Pathsala .
246,no,g24cfb_246,5ec7d50dc9e77c000844208e,train,106539,The Dan Le Batard Show with Stugotz,1a8bf8c098e3,Jon Weiner is known as Stugotz .,The final hour of the show is usually hosted solely by the forgotten Stugotz ( Jon Weiner ) who has been constantly looking over his shoulders for the past year to see who will replace him .,The final hour of the show is usually hosted solely by the forgotten Stugotz ( I. Juan Weiner ) who has been constantly looking over his shoulders for the past year to see who will replace him .
247,no,g24cfb_247,5ed7acfcc9e77c00084a5418,test,23113,WarGames,ba939ef969d2,"In WarGames , Joshua offers to play `` a nice game of chess . ''","Joshua then offers to play `` a nice game of chess '' , and relinquishes control of NORAD and the missiles.","The computer then offers to play `` a nice game of chess '' , and relinquishes control of NORAD and the missiles."
248,no,g24cfb_248,5ec7d50ec9e77c000844256b,train,89712,Lauri Markkanen,40964fe8d609,"Lauri Markkanen 's brother , Eero , is currently on loan at Dynamo Dresden .","He is the son of Pekka , and Riikka Markkanen ( née Ellonen ) , who both were professional basketball players , and has two brothers , Miikka and a professional football player , Eero , who plays for AIK ( currently on loan to Dynamo Dresden ) .==NB","He is the son of Pekka , and Riikka Markkanen ( née Ellonen ) , who both were professional basketball players , and has two brothers , Miikka and a professional football player , Eero , who plays for AIK ( currently on loan to Randers FC ) .==NBA re"
249,no,g24cfb_249,5ebe6f31c9e77c00084093a4,train,52702,Gran Torino,f29e3040d5bf,Gran Torino is a comedy film .,"Gran Torino is a 2008 American comedy film directed and produced by Clint Eastwood , who also starred in the film .","Gran Torino is a 2008 American drama film directed and produced by Clint Eastwood , who also starred in the film ."
250,no,g24cfb_250,5ec284fec9e77c0008416f51,train,69125,Bob Newhart,f1355f3bc9c0,Bob Newhart made three guest appearances in The Big Bang Theory .,"In 2013 , Newhart guest starred in three episodes of The Big Bang Theory , for one of which he won his first Primetime Emmy Award on September 15 , 2013.On February 20 , 2015 , Newhart was honored with the Publicists of the International Cinematographers Guild Lifetime Achievement Award .","In 2013 , Newhart made his first of four guest appearances on The Big Bang Theory , for which he received his first Primetime Emmy Award on September 15 , 2013.On February 20 , 2015 , Newhart was honored with the Publicists of the International Cinematographers Guild Lifetime Achievement Award ."
251,no,g24cfb_251,5ed4de09c9e77c000848aaf9,train,130678,A Ghost Story,44bd4a7514f1,"In A Ghost Story , the young daughter writes a note .",He watches as the family 's young daughter writes a note and hides it under a rock .,He watches as the family 's young daughter hums the song he wrote while alive and hides a note under a rock .
252,no,g24cfb_252,5ee39418c9e77c0008ccf38d,train,236033,Impeachment,7bf2ba387e21,Brazil is a nation .,"It exists under constitutional law in many nations around the world , including Brazil , the Republic of Ireland , India , the Philippines , Russia , South Korea , and the United States.","It exists under constitutional law in many states around the world , including Brazil , the Republic of Ireland , India , the Philippines , Russia , South Korea , and the United States."
253,no,g24cfb_253,5ece9464c9e77c0008467f6e,train,154107,Hands of Stone,544185995e8f,"In the film Hands of Stone , boxer Roberto Durán retires after the age of 49 years , after 2001 .","Follows the life of Roberto Durán , who made his professional boxing debut in 1968 as a 16-year-old and retired in 2002 at age 50 .","Follows the life of Roberto Durán , who made his professional boxing debut in 1968 as a 16-year-old and retired in 2001 at age 49 ."
254,no,g24cfb_254,5ed7ad01c9e77c00084a61b3,train,178248,Sean Paul,d66a6048b785,Sean Paul is originally from Jamaica .,"Sean Paul Francis Henriques ( born 9 January 1973 ) is a Jamaican rapper , singer and record producer .","Sean Paul Francis Henriques ( born 9 January 1973 ) is a Bajan rapper , singer and record producer ."
255,no,g24cfb_255,5eb29887c9e77c0008d92d05,train,14049,Neutrino,fa00768ccfe5,Wolfgang Pauli first postulated about Neutrino before 1931 .,"was postulated first by Wolfgang Pauli in 1930 to explain how beta decay could conserve energy , momentum , and angular momentum ( spin ) .","was postulated first by Wolfgang Pauli in 1931 to explain how beta decay could conserve energy , momentum , and angular momentum ( spin ) ."
256,no,g24cfb_256,5ee39418c9e77c0008ccf140,train,238971,Los Angeles,fd13d79868e3,The population of Los Angeles is lower than 13.11 million .,"Los Angeles is also the principal city of the Los Angeles metropolitan area , the second largest in the United States after that of New York City , with a population of 13.1 million .","Los Angeles is also the principal city of the Los Angeles metropolitan area , the second largest in the United States after that of New York City , with a population of 13.11 million ."
257,no,g24cfb_257,5ece9464c9e77c0008467baf,train,146087,Dhani Harrison,b5225c7d9b8c,Dhani Harrison is English-Mexican .,Dhani Harrison ( born 1 August 1978 ) is an English-Mexican multi-instrumentalist musician and singer-songwriter who is the only child of George Harrison and Olivia Harrison .,Dhani Harrison ( born 1 August 1978 ) is an English multi-instrumentalist musician and singer-songwriter who is the only child of George Harrison and Olivia Harrison .
258,no,g24cfb_258,5ed4de06c9e77c0008489eb0,test,19359,"In My Lifetime, Vol. 1",c56bcb459b09,"In My Lifetime , Vol . 1 was given a score of 4.5 out of 4 stars by John Bush .","In a retrospective review , Allmusic editor John Bush gave the album four-and-a-half out of four stars and stated `` Though the productions are just a bit flashier and more commercial than on his debut , Jay-Z remained the tough street rapper , and even improved a bit on his flow '' .","In a retrospective review , Allmusic editor John Bush gave the album four-and-a-half out of five stars and stated `` Though the productions are just a bit flashier and more commercial than on his debut , Jay-Z remained the tough street rapper , and even improved a bit on his flow '' ."
259,no,g24cfb_259,5ece9462c9e77c0008466754,train,76355,Drishyam,7b192aad5385,"In Drishyam , the remains of a dragon were found in a pit .","After digging the compost pit , they find the carcass of a dragon , indicating that Georgekutty had moved the body .","After digging the compost pit , they find the carcass of a dog , indicating that Georgekutty had moved the body ."
260,no,g24cfb_260,5ece9464c9e77c0008467ae0,train,220243,Mike Will Made It,04a974af906b,`` Humble '' is a song by Kendrick Lamar .,"He is best known for producing trap beats for several Southern hip hop artists as well as for producing several singles , such as `` Black Beatles '' by Rae Sremmurd , `` Mercy '' by GOOD Music , `` No Lie '' by 2 Chainz , `` Bandz a Make Her Dance '' by Juicy J , `` Pour It Up '' by Rihanna , `` Love Me '' by Lil Wayne , `` Body Party '' by Ciara , `` We Ca n't Stop '' by Miley Cyrus , `` First Day Out the Feds '' by Gucci Mane , `` Formation '' by Beyoncé , and `` Humble '' by Kendrick Lamar .","He is best known for producing trap beats for several Southern hip hop artists as well as for producing several singles , such as `` Black Beatles '' by Rae Sremmurd , `` Mercy '' by GOOD Music , `` No Lie '' by 2 Chainz , `` Bandz a Make Her Dance '' by Juicy J , `` Pour It Up '' by Rihanna , `` Love Me '' by Lil Wayne , `` Body Party '' by Ciara , `` We Ca n't Stop '' by Miley Cyrus , `` First Day Out the Feds '' by Gucci Mane , `` Formation '' by Beyoncé , and `` Humble '' by lil lucy ."
261,no,g24cfb_261,5ec7d50bc9e77c0008440e1d,test,13066,Sisqó,e28e1fb906e3,SisQo 's girlfriend is Elizabeth Pham .,"SisQo resides in Maple Grove , Minnesota , a suburb of Minneapolis , with his girlfriend Elizabeth Pham .","SisQo resides in Maple Grove , Minnesota , a suburb of Minneapolis , with his girlfriend Micah Natalia Pierce ."
262,no,g24cfb_262,5ec7d50dc9e77c0008441bdb,dev,12987,Night at the Museum-COLON- Secret of the Tomb,924281dddcf3,Jake Cherry would be replaced by Skyler Gisondo in Night at the Museum : Secret of the Tomb .,"On November 15 , 2013 , it was announced that Skyler Gisondo would be replacing Jake Cherry in the role of Nicky Daley .","On November 15 , 2013 , it was announced that Danny McBride would be replacing Jake Cherry in the role of Nicky Daley ."
263,no,g24cfb_263,5ee39418c9e77c0008ccefe7,train,232478,Corey Taylor,3cbe6233138b,"In 2009 , Corey Taylor wanted to go back to Stone Sour .","In an interview with Billboard magazine , Taylor confirmed that on January 13 , 2009 , he was planning on making a solo album , as well as returning to his side project Stone Sour after Slipknot 's All Hope Is Gone World Tour .","In an interview with Billboard magazine , Taylor confirmed that on January 13 , 2009 , he was planning on making a solo album , as well as returning to his side project Backstreet Boys after Slipknot 's All Hope Is Gone World Tour ."
264,no,g24cfb_264,5ece9463c9e77c00084670dc,train,216640,Crimson Peak,f9f11cb87e63,"The film Crimson Peak premiered after October 25 , 2015 .","The film premiered at the Fantastic Fest on November 25 , 2015 and was released by Universal Pictures on October 16 .","The film premiered at the Fantastic Fest on September 25 , 2015 and was released by Universal Pictures on October 16 ."
265,no,g24cfb_265,5ec55989c9e77c000842ba72,train,78777,Ferland Mendy,de3efdaaff16,Ferland Mendy was born after 1998 .,Ferland Mendy ( born 8 June 1999 ) is a French footballer who plays as a left back for Lyon.,Ferland Mendy ( born 8 June 1995 ) is a French footballer who plays as a left back for Lyon.
266,no,g24cfb_266,5eafed80c9e77c0009ce15a1,train,5997,Billy Madison,b85c96256be0,Reviews of the film Billy Madison ranged from varied to bleak .,Billy Madison received mixed to negative reviews .,Billy Madison received negative reviews .
267,no,g24cfb_267,5ed7acfdc9e77c00084a5658,train,176210,Rick Tocchet,5f0a0c86dddd,Rick Tocchet is a hockey player .,"Rick Tocchet ( born April 9 , 1964 in Scarborough , Ontario , Canada ) was a hockey player from 1984-2002 .","Rick Tocchet ( born April 9 , 1964 in Scarborough , Ontario , Canada ) was a professional ice hockey player from 1984-2002 ."
268,no,g24cfb_268,5ee3932ac9e77c0008cc98d9,train,212619,2020 coronavirus pandemic in the United States,f421a10eb9fc,Trinity University canceled its classes due to the coronavirus pandemic .,"A large number of higher educational institutions canceled classes and closed dormitories in response to the outbreak , including Harvard University , Trinity University , and the University of South Carolina .","A large number of higher educational institutions canceled classes and closed dormitories in response to the outbreak , including Harvard University , Cornell University , and the University of South Carolina ."
269,no,g24cfb_269,5ec284fbc9e77c000841580d,test,12200,Mr. Mercedes -LRB-TV series-RRB-,599322ba398a,Mr. Mercedes is broadcast on RTÉ2 in Ireland .,"The series airs on RTÉ2 in Ireland , on Canal+ in Poland , and on Starzplay in the United Kingdom.","The series airs on RTÉ1 in Ireland , on Canal+ in Poland , and on Starzplay in the United Kingdom."
270,no,g24cfb_270,5ec284fec9e77c00084172f6,test,11217,Jadon Sancho,4a6302ad885e,Jadon Sancho was previously a youth player with Manchester United .,Sancho was previously a youth player with Watford and Manchester United and signed his first senior contract with Dortmund in 2017 .,Sancho was previously a youth player with Watford and Manchester City and signed his first senior contract with Dortmund in 2017 .
271,no,g24cfb_271,5ec284ffc9e77c0008417ec1,train,68181,Berlin -LRB-band-RRB-,aa3e90d1e172,The original lineup of the band Berlin reunited on the show Bands Reunited .,"Berlin was featured on the VH1 show , Bands Reunited where all original members ( John Crawford , Teri Nunn , David Diamond , Ric Olsen , Matt Reid and Rod Learned ) agreed to reunite as a band and as friends .","Berlin was featured on the VH1 show , Bands Reunited where the roughly pre-Love Live era lineup of the band ( John Crawford , Terri Nunn , David Diamond , Ric Olsen , Matt Reid and Rod Learned ) agreed to reunite as a band and as friends ."
272,no,g24cfb_272,5eafed80c9e77c0009ce1419,train,125224,Marco Belinelli,3fad5b41327e,"Marco Belinelli became part of the Charlotte Hornets on June 22 , 2016 .",He was traded to the Charlotte Hornets for their 22nd draft pick on June 22nd 2016.,He was traded to the Charlotte Hornets for their 22nd draft pick on June 23rd.
273,no,g24cfb_273,5ebe6f2fc9e77c0008408221,train,68301,Beyond the Clouds -LRB-2017 film-RRB-,294aaa573c8c,"In Beyond the Clouds , Aamir initially considers selling Akshi 's older sister to a local brothel .","Taara befriends Chotu , the child of an ailing prisoner , while Aamir initially considers selling Akshi 's older sister to a local brothel .","Taara befriends Chotu , the child of an ailing prisoner , while Aamir initially considers selling Akshi 's eldest daughter to a local brothel ."
274,no,g24cfb_274,5ee39416c9e77c0008ccd8b7,train,248733,Wynonna Judd,c34c84e308d6,"What the World Needs Now Is Love by Wynonna Judd , was released before 2002 .","What the World Needs Now Is Love , released in 2000 , was Wynonna 's first album for the Asylum-Curb Records label .","What the World Needs Now Is Love , released in August 2003 , was Wynonna 's first album for the Asylum-Curb Records label ."
275,no,g24cfb_275,5ec7d50ec9e77c0008442e5e,train,165584,Luciano Acosta,fd3cf1f86ccd,Luciano Acosta plays for Boca Juniors .,He currently plays for Boca Juniors.,He currently plays for D.C. United on loan from Boca Juniors.
276,no,g24cfb_276,5ec7d50cc9e77c0008441572,train,68187,Berlin Brandenburg Airport,66e957230d95,Dowels are made up of plastic which makes them unfit to meet regulatory standards in the Berlin Brandenburg Airport .,Dowels are made out of plastic and are thus unfit to meet regulatory standards .,Anchors are made out of plastic and are thus unfit to meet regulatory standards .
277,no,g24cfb_277,5eafed80c9e77c0009ce112a,train,4302,Grimsby -LRB-film-RRB-,7254a43fd692,"Based on 99 reviews , the film scored below 36.5 % .","On Rotten Tomatoes , the film has a rating of 36 % , based on 99 reviews , with an average rating of 4.7/10 .","On Rotten Tomatoes , the film has a rating of 37 % , based on 100 reviews , with an average rating of 4.7/10 ."
278,no,g24cfb_278,5ece9460c9e77c0008465969,train,137355,Better Watch Out,e7c04b4c22ab,Better Watch Out is an Australian-American psychological horror film .,Better Watch Out is a 2016 Australian-American psychological horror film directed by Chris Peckover and written by Zack Kahn and Peckover .,Better Watch Out is a 2016 Australian-American psychological horror comedy film directed by Chris Peckover and written by Zack Kahn and Peckover .
279,no,g24cfb_279,5eb29888c9e77c0008d938fa,train,19674,D.C. United,53b336a0afe0,D.C. United won eight of 13 titles between 1996 and 1998 .,"The club was one of the most successful clubs in the early years of MLS , winning eight of its thirteen titles between 1996 and 1998 under then head coach Bruce Arena .","The club was one of the most successful clubs in the early years of MLS , winning eight of its thirteen titles between 1996 and 2008 under then head coach Bruce Arena ."
